@relation chunk

@attribute pos_1 {#, $, "''", (, ), ",", ., :, CC, CD, DT, EX, FW, IN, JJ, JJR, JJS, MD, NN, NNP, NNPS, NNS, PDT, POS, PRP, PRP$, RB, RBR, RBS, RP, SYM, TO, UH, VB, VBD, VBG, VBN, VBP, VBZ, WDT, WP, WP$, WRB, ``}
@attribute pos {#, $, "''", (, ), ",", ., :, CC, CD, DT, EX, FW, IN, JJ, JJR, JJS, MD, NN, NNP, NNPS, NNS, PDT, POS, PRP, PRP$, RB, RBR, RBS, RP, SYM, TO, UH, VB, VBD, VBG, VBN, VBP, VBZ, WDT, WP, WP$, WRB, ``}
@attribute pos1 {#, $, "''", (, ), ",", ., :, CC, CD, DT, EX, FW, IN, JJ, JJR, JJS, MD, NN, NNP, NNPS, NNS, PDT, POS, PRP, PRP$, RB, RBR, RBS, RP, SYM, TO, UH, VB, VBD, VBG, VBN, VBP, VBZ, WDT, WP, WP$, WRB, ``}
@attribute chunk {B-ADJP, B-ADVP, B-CONJP, B-INTJ, B-LST, B-NP, B-PP, B-PRT, B-SBAR, B-UCP, B-VP, I-ADJP, I-ADVP, I-CONJP, I-INTJ, I-NP, I-PP, I-PRT, I-SBAR, I-UCP, I-VP, O}

@data
NN, IN, DT, B-PP
IN, DT, NN, B-NP
DT, NN, VBZ, I-NP
NN, VBZ, RB, B-VP
VBZ, RB, VBN, I-VP
RB, VBN, TO, I-VP
VBN, TO, VB, I-VP
TO, VB, DT, I-VP
VB, DT, JJ, B-NP
DT, JJ, NN, I-NP
JJ, NN, IN, I-NP
NN, IN, NN, B-SBAR
IN, NN, NNS, B-NP
NN, NNS, IN, I-NP
NNS, IN, NNP, B-PP
IN, NNP, ",", B-NP
NNP, ",", JJ, O
",", JJ, IN, B-ADJP
JJ, IN, NN, B-PP
IN, NN, NN, B-NP
NN, NN, ",", B-NP
NN, ",", VB, O
",", VB, TO, B-VP
VB, TO, VB, I-VP
TO, VB, DT, I-VP
VB, DT, JJ, B-NP
DT, JJ, NN, I-NP
JJ, NN, IN, I-NP
NN, IN, NNP, B-PP
IN, NNP, CC, B-NP
NNP, CC, NNP, I-NP
CC, NNP, POS, I-NP
NNP, POS, JJ, B-NP
POS, JJ, NNS, I-NP
JJ, NNS, ., I-NP
NNS, ., NNP, O
., NNP, IN, O
NNP, IN, DT, B-PP
IN, DT, NNP, B-NP
DT, NNP, NNP, I-NP
NNP, NNP, NNP, B-NP
NNP, NNP, POS, I-NP
NNP, POS, VBN, B-NP
POS, VBN, NN, I-NP
VBN, NN, TO, I-NP
NN, TO, DT, B-PP
TO, DT, NN, B-NP
DT, NN, JJ, I-NP
NN, JJ, NN, I-NP
JJ, NN, VBZ, I-NP
NN, VBZ, VBN, B-VP
VBZ, VBN, TO, I-VP
VBN, TO, VB, I-VP
TO, VB, DT, I-VP
VB, DT, NN, B-NP
DT, NN, IN, I-NP
NN, IN, NN, B-PP
IN, NN, IN, B-NP
NN, IN, DT, B-PP
IN, DT, JJ, B-NP
DT, JJ, NN, I-NP
JJ, NN, ., I-NP
NN, ., CC, O
., CC, NNS, O
CC, NNS, VBP, B-NP
NNS, VBP, VBG, B-VP
VBP, VBG, NN, B-NP
VBG, NN, IN, I-NP
NN, IN, NN, B-PP
IN, NN, VBZ, B-NP
NN, VBZ, VBN, B-VP
VBZ, VBN, VBN, I-VP
VBN, VBN, IN, I-VP
VBN, IN, DT, B-PP
IN, DT, NN, B-NP
DT, NN, POS, I-NP
NN, POS, NN, B-NP
POS, NN, TO, I-NP
NN, TO, VB, B-VP
TO, VB, DT, I-VP
VB, DT, JJ, B-NP
DT, JJ, NN, I-NP
JJ, NN, NNS, I-NP
NN, NNS, IN, I-NP
NNS, IN, PRP$, B-PP
IN, PRP$, NNP, B-NP
PRP$, NNP, NNP, I-NP
NNP, NNP, NN, I-NP
NNP, NN, JJ, I-NP
NN, JJ, NNP, B-NP
JJ, NNP, ., I-NP
NNP, ., DT, O
., DT, VBZ, B-NP
DT, VBZ, VBN, B-VP
VBZ, VBN, DT, I-VP
VBN, DT, NN, B-NP
DT, NN, IN, I-NP
NN, IN, DT, B-PP
IN, DT, NN, B-NP
DT, NN, VBG, I-NP
NN, VBG, VBN, B-VP
VBG, VBN, TO, I-VP
VBN, TO, VB, I-VP
TO, VB, NN, I-VP
VB, NN, NNS, B-NP
NN, NNS, TO, I-NP
NNS, TO, CD, B-PP
TO, CD, NN, B-NP
CD, NN, IN, I-NP
NN, IN, PRP$, B-PP
IN, PRP$, JJ, B-NP
PRP$, JJ, CD, I-NP
JJ, CD, NN, I-NP
CD, NN, NN, I-NP
NN, NN, TO, I-NP
NN, TO, VB, B-VP
TO, VB, DT, I-VP
VB, DT, NN, B-NP
DT, NN, ",", I-NP
NN, ",", NNS, O
",", NNS, CC, B-NP
NNS, CC, JJ, O
CC, JJ, NN, B-NP
JJ, NN, NN, I-NP
NN, NN, NNS, I-NP
NN, NNS, VBP, I-NP
NNS, VBP, ., B-VP
VBP, ., ``, O
., ``, DT, O
``, DT, NNS, B-NP
DT, NNS, IN, I-NP
NNS, IN, NN, B-PP
IN, NN, IN, B-NP
NN, IN, DT, B-PP
IN, DT, JJ, B-NP
DT, JJ, NN, I-NP
JJ, NN, NN, I-NP
NN, NN, VBP, I-NP
NN, VBP, RB, B-VP
VBP, RB, RB, B-ADVP
RB, RB, IN, I-ADVP
RB, IN, DT, B-PP
IN, DT, JJ, B-NP
DT, JJ, NN, I-NP
JJ, NN, ",", I-NP
NN, ",", "''", O
",", "''", VBD, O
"''", VBD, NNP, B-VP
VBD, NNP, NNP, B-NP
NNP, NNP, ",", I-NP
NNP, ",", JJ, O
",", JJ, NNP, B-NP
JJ, NNP, NN, I-NP
NNP, NN, IN, I-NP
NN, IN, NNP, B-PP
IN, NNP, NNP, B-NP
NNP, NNP, NNP, I-NP
NNP, NNP, ., I-NP
NNP, ., ``, O
., ``, IN, O
``, IN, EX, B-SBAR
IN, EX, VBZ, B-NP
EX, VBZ, DT, B-VP
VBZ, DT, JJ, B-NP
DT, JJ, NN, I-NP
JJ, NN, NN, I-NP
NN, NN, ",", I-NP
NN, ",", EX, O
